id;identification;id_type;birth_date;phone_number;admin
1;Practical sta;IDENTIFICATION;2020-11-01T14:06:57;Internation;true
2;local Officer;IDENTIFICATION;2020-11-01T15:20:45;Accountabil;true
3;Refined Concr;IDENTIFICATION;2020-11-02T04:25:25;Checking Ac;false
4;open-source T;PASSPORT;2020-11-01T08:44:40;Movies empo;false
5;Administrator;IDENTIFICATION;2020-11-01T17:06:42;MontanaX;true
6;Uganda Shilli;IDENTIFICATION;2020-11-01T20:30:47;indexing Au;true
7;open-source;PASSPORT;2020-11-01T15:05:03;invoice Reg;true
8;RegionalX;IDENTIFICATION;2020-11-01T16:29:54;Investor by;false
9;white Berkshi;PASSPORT;2020-11-01T19:37:47;European Un;true
10;backing up de;PASSPORT;2020-11-02T03:32:05;Central rep;false
