id;card_number;card_owner;expiration_date;type
1;GardenXXXXXXXX;Technician Kyrgyz Republic transmit;2020-11-01T12:28:09;MASTERCARD
2;array VietnamX;Trail Games;2020-11-01T20:03:05;EXPRESS
3;open-source model V;Tasty Fresh Keyboard Jewelery;2020-11-02T00:30:09;VISA
4;Human Avon Open-arc;Rustic;2020-11-01T19:09:43;MASTERCARD
5;sensor connect Tast;synergies Nebraska Mauritius;2020-11-01T23:49:31;VISA
6;Soft ChairXXXX;withdrawal;2020-11-01T20:03:56;MASTERCARD
7;asynchronous Licens;indexing;2020-11-01T12:05:05;VISA
8;Dynamic payment;New Jersey;2020-11-01T05:28:42;MASTERCARD
9;SSL array Danish Kr;Credit Card Account SAS;2020-11-01T14:43:44;VISA
10;GenericXXXXXXX;Generic Steel Mouse Executive;2020-11-01T13:42:19;EXPRESS
